Walmart,11
Kroger,6
Walgreens,10
Costco Wholesale Corp.,2
ShopRite,22
Safeway,8
Target,1
Publix Super Markets,7
DeMoulas Market Basket,61
H-E-B,44
Ralphs,40
WinCo Foods,51
Wegmans Food Markets,52
Smith's Food and Drug,42
Woodman's Markets,67
Meijer,19
Jewel Osco,23
Hy-Vee,56
Rite Aid,143
Sam's Club,9
Food Lion,142
Stater Bros,65
Whole Foods Market,55
Save-A-Lot (Pyramid Foods),7788
Tops Friendly Markets,64
CVS,3
Dillons,30
Albertsons,20
Fred Meyer,53
Stop & Shop,46
Sprouts Farmers Market,54
Home Depot,15
Price Chopper,62
Giant Eagle,144
Hannaford,160
BJ's Wholesale Club,45
Harris Teeter,33
Food 4 Less,31
Kmart,6062
Mariano's,158
Big Y,147
Festival Foods,8654
Fry's Food and Drug,60
Fresh Thyme,7667
Shaw's Supermarkets,26
King Soopers,36
PetSmart,6152
Big Lots,5934
Lowe's Home Improvement,16
Weis Markets,145
99 Cents Only Stores,5933
Cub Foods,7617
Pick 'n Save,152
Dollar Tree,5
Food City,146
Schnucks,68
Trader Joe's,7823
Lowe's Foods,7712
Michaels Stores,6072
Vons,63
Ross Dress for Less,5919
Fareway,168
Grocery Outlet Bargain Market,8656
BI-LO,141
Tom Thumb,76
Piggly Wiggly,124
County Market,162
QFC (Quality Food Centers),39
Key Food,7700
City Market,29
Ingles Markets,66
Save Mart,139
Raley's Supermarkets,153
Dierbergs Markets,7627
Tractor Supply,5991
Randall's Food Markets,7780
PriceRite,85
Smart & Final,73
Kohls,5929
Baker's Supermarkets,28
Total Wine & More,79
T.J. Maxx,5921
Brookshire Grocery Company,7596
Coborns,7609
Shopko,6061
Jay C,35
Shoppers Food & Pharmacy,80
H Mart,8657
Fred's Super Dollar,69
99 Ranch Market,7569
Family Fare Supermarkets,161
Pay Less Super Markets,38
Best Market,7590
IGA,7689
Shop 'n Save,163
Lucky Supermarkets,7713
Super 1 Foods,102
Star Market,25
Cash Wise,7605
FoodMaxx Supermarkets,7659
Bed Bath & Beyond,6074
JCPenney,6811
Acme Fresh Market,8658
Cost Plus World Market,8659
Redner's Markets,150
7-Eleven,6745
Office Depot & OfficeMax,6125
Earth Fare,7632
Reasor's,8660
Menards,6102
Gordon Food Service,7671
Toys R Us,14
Vallarta Supermarkets,7824
Acme Markets,17
Burlington Coat Factory,5942
Giant Food Store,7674
Hobby Lobby,8661
Dollar General,4
Metro Market,7738
AutoZone,5858
Longs Drugs,8322
McDonald's,6265
Family Dollar,165
Cumberland Farms,6705
CASEY'S GENERAL STORE,94
Gerbes,32
C Town Supermarkets,7598
Love's Travel Stop,111
Five Below,5937
El Super,7638
GNC,8204
United Supermarkets,78
Chick-fil-A,6313
Pavilions,93
Ulta Beauty,8662
MARTIN'S Food Markets,151
HomeGoods,8663
Strack & Van Til,8664
Discount Drug Mart,6892
Best Buy,177
Navy Exchange,6054
Academy Sports + Outdoors,6137
Superior Grocers,7817
ALDI,6884
Braum's Ice Cream and Dairy Stores,6191
Heinen's Grocery Stores,7681
Military Commissary,48
Chipotle,6934
Super Saver,8665
Christmas Tree Shops,6883
Burger King,6210
Lucky's Market,7714
Foods Co,84
Dick's Sporting Goods,6162
Barnes and Noble,5881
Advance Auto Parts,5856
Dunkin' Donuts,8541
Sears,5853
SHEETZ,99
Fiesta Mart,7648
Taco Bell,8598
Foodtown,7661
Pet Supplies Plus,6144
CORNER STORE,103
Army and Air Force Exchange Service,6055
Dave's Marketplace,7623
Kum & Go,8666
Northgate Markets,95
Wendy's,6281
Price Cutter,91
Kinney Drugs,8317
Victoria's Secret,8667
Sonic,6273
GameStop,7987
Lidl,8668
Buehler's Fresh Foods,8669
Tony's Finer Foods,8670
Natural Grocers,87
Dairy Queen,6285
Jo-Ann Fabric and Craft Stores,6070
Foodland,7656
Duane Reade,18
Arby's,6288
Staples,12
Lunds & Byerlys,101
SuperAmerica,6737
QuickChek,6725
Cardenas Markets,7600
Hornbacher's,7684
Turkey Hill Minit Market,135
Sunoco,105
Harmons,7678
Harveys Supermarket,6226
Sedanos,7794
Bravo Supermarkets,8671
Speedway,90
King Kullen,7702
Crest Foods,8672
QuikTrip,98
ABC Fine Wine & Spirits,5677
Mills Fleet Farm,5986
Party City,5883
Pilot Travel Centers,109
Stew Leonard's,8673
Food Depot,8674
RaceTrac,104
Maverik,115
Petco,6146
Chief Supermarket,8675
Holiday Station,107
Macy's,6802
The Vitamin Shoppe,8224
Domino's Pizza,8366
Old Navy,5906
Brookshire Brothers,7595
SUBWAY,8510
Carrs,7602
Seafood City,7793
Circle K,81
IKEA,6033
Rouses Markets,86
Rural King,5989
Panda Express,7005
Marshalls,5917
Econo Foods,7633
KFC,172
Market Street,89
Cash Saver,138
Starbucks,6677
The Fresh Market,77
Babies R Us,13
CHEVRON,108
Panera Bread,8490
Applebee's,7275
Kwik Trip,75
Butera Market,8676
Valli Produce,8677
Payless ShoeSource,5994
Wawa,96
Copps,164
Popeyes Louisiana Kitchen,6351
ARCO,7205
Roche Bros,7785
Times Supermarket,8678
Bashas' Supermarkets,167
Roses,5940
Trig's,8679
Sephora,171
BevMo,100
Fairway Market,7567
VG's Grocery,8680
Pizza Hut,8408
Winn Dixie,47
Kings Food Markets,7703
Haggen Northwest Fresh,97
A.C. Moore,6065
Hugo's Family Marketplace,8681
MAPCO Mart,6717
Krispy Kreme Doughnuts,8560
Harbor Freight Tools,5953
Shell,92
Angelo Caputo's Fresh Markets,7581
Marc's,72
Hardee's,6289
EXXON,7218
Ocean State Job Lot,5938
Giunta's Meat Farms,8682
Belk,5927
MURPHY USA,110
Ace Hardware,6087
Patel Brothers,8683
SPARKLE,8684
Papa John's,8396
Central Market,7606
Homeland,156
Busch's Fresh Food Market,8685
FRESCO Y MAS,7666
Farm Fresh,178
Tuesday Morning,5947
Gelson's,8686
Walt's Food Center,8687
Yoke's Fresh Market,8688
Adams Fairacre Farms,8689
Joe V's,8690
168 Market,8691
Neiman's Family Market,8692
Food Source,7654
Kuhn's Market,8693
Trucchi's Supermarkets,8694
Pet Supermarket,6143
D&W Fresh Market,7620
Fine Wine & Good Spirits,8695
Nordstrom Rack,6808
Fine Fare Supermarket,8696
Dan's Supermarket,8697
Russ's Market,8698
BI - MART,7592
The Children's Place,6371
Goodwill,6118
Little Caesars,8385
Binny's Beverage Depot,8699
Hudson Group,8700
Denny's,7330
Country Mart,8701
Village Market,8702
Giant (MD),58
Bath & Body Works,7850
O'Reilly Auto Parts,5862
