Banner ID,Merchant Name,Allow String Matching,Tax id,Disallow string match,Nix if Multiple matches,Prefer if multple matches,Allow on top of receipt only,Match against addresses,Country,Logo-Text_Merchant_Name
1,Target,Target,,,,,,,US,Target
2,Costco Wholesale Corp.,Costco,,,,,,,US,Costco Wholesale Corp.
3,CVS,CVS.com;|CVS Return|;Extracare Card,,,,,,,US,CVS
4,Dollar General,Dollar General;DGCustomer;LAR GENERAL STORE,,,,,,,US,Dollar General
5,Dollar Tree,Dollar Tree;ARTREE.COM;LARTREE;DCLLARTR;DOLLARTR,,,,,,,US,Dollar Tree
6,Kroger,KROGER,,Krogerexp;krogerplus;krogerfeed,YES,,,,US,Kroger
7,Publix Super Markets,Publix,,,,,,,US,Publix Super Markets
8,Safeway,Safeway;Safevay;|Safewa|;|Safewav|,,,,,,,US,Safeway
9,Sam's Club,samsclub.com;Sam's Instant Savings;Sam's Club;Sams Club;Sams C1ub;Sam's C1ub;Sam's Ctub;Sam:' s Club;Sam' s CIuo;Sams CIub;Sam's CIub,,,,YES,,,US,Sam's Club
10,Walgreens,Walgreens,,,,,,,US,Walgreens
11,Walmart,Walmart;Save Money. Live Better.;Low Prices You Can Trust;Walnart;Wal-mart,,,,,,,US,Walmart
15,Home Depot,HOME DEPOT,,,,,,,US,Home Depot
16,Lowe's Home Improvement,Lowe's,,,,,,,US,Lowe's Home Improvement
17,Acme Markets,Acme,,acmeoyster,,,,,US,Acme Markets
18,Duane Reade,Duane Reade,,,,,,,US,Duane Reade
19,Meijer,Meijer,,,,,,,US,Meijer
20,Albertsons,Albertsons,,,,,,,US,Albertsons
22,ShopRite,ShopRite;Shop Rite,,,,,,,US,ShopRite
23,Jewel Osco,Jewel Osco;Jewel-Osco,,,,,,,US,Jewel Osco
26,Shaw's Supermarkets,Shaws;Shaw's,,,,,,,US,Shaw's Supermarkets
28,Baker's Supermarkets,BAKER'S;|BAKERS|,,,,,,,US,Baker's Supermarkets
29,City Market,CITY MARKET,,,,,,,US,City Market
30,Dillons,Dillon's;DILLONS,,,,,,,US,Dillons
31,Food 4 Less,Food4Less,,,,,,,US,Food 4 Less
32,Gerbes,GERBE'S;GERBES,,,,,,,US,Gerbes
33,Harris Teeter,Harris Teeter,,,,,,,US,Harris Teeter
35,Jay C,JAY C,,,,,,,US,Jay C
36,King Soopers,King Soopers,,,,,,,US,King Soopers
37,Owen's Market,OWEN'S,,,,,,,US,Owen's Market
38,Pay Less Super Markets,PAY LESS;PAY-LESS,,,,,,,US,Pay Less Super Markets
39,QFC (Quality Food Centers),|QFC|,,,,,,,US,QFC (Quality Food Centers)
40,Ralphs,Ralphs;Ralph's,,,,,,,US,Ralphs
41,Ruler Foods,RULER,,,,,,,US,Ruler Foods
42,Smith's Food and Drug,|Smiths|;Smith's,,,,,,,US,Smith's Food and Drug
44,H-E-B,|HEB|;H-E-B,,,,,,,US,H-E-B
45,BJ's Wholesale Club,BJs.com;BJ's,,,,,,,US,BJ's Wholesale Club
46,Stop & Shop,STOPANDSHOP;SHOP & SHOP,,,,,,,US,Stop & Shop
47,Winn Dixie,Winn Dixie;Winn-Dixie,,,,,,,US,Winn Dixie
48,Military Commissary,COMMISSARY;Commissaries,,,,,,,US,Military Commissary
51,WinCo Foods,Winco;Winco Foods,,waremart,,,,,US,WinCo Foods
52,Wegmans Food Markets,Wegmans,,,,,,,US,Wegmans Food Markets
53,Fred Meyer,Fred Meyer,,,,,,,US,Fred Meyer
54,Sprouts Farmers Market,SPROUTS,,,,,,,US,Sprouts Farmers Market
55,Whole Foods Market,Whole Foods,,,,,,,US,Whole Foods Market
56,Hy-Vee,Hyvee;Hy-vee,,,,,,,US,Hy-Vee
60,Fry's Food and Drug,Fry's,,,,,,,US,Fry's Food and Drug
61,DeMoulas Market Basket,MARKET BASKET,,,,,,,US,DeMoulas Market Basket
62,Price Chopper,PRICE CHOPPER,,,,,,,US,Price Chopper
63,Vons,Vons,,,,,,,US,Vons
64,Tops Friendly Markets,|Tops|,,,,,,,US,Tops Friendly Markets
65,Stater Bros,STATER BROS,,,,,,,US,Stater Bros
66,Ingles Markets,|INGLES|,,,,,,,US,Ingles Markets
67,Woodman's Markets,WOODMANS;Woodman's,,,,,,,US,Woodman's Markets
68,Schnucks,SCHNUCKS,,,,,,,US,Schnucks
69,Fred's Super Dollar,|FREDS|;FRED'S,,,,,,,US,Fred's Super Dollar
72,Marc's,|MARCS|;MARC'S,,,,,,,US,Marc's
73,Smart & Final,SMART & FINAL;SMART AND FINAL,,,,,,,US,Smart & Final
75,Kwik Trip,KWIK TRIP,,,,,,,US,Kwik Trip
76,Tom Thumb,TOM STORE;TOM THUMB,,,,,,,US,Tom Thumb
77,The Fresh Market,THE FRESH MARKET,,,,,,,US,The Fresh Market
78,United Supermarkets,United Super,,,,,,,US,United Supermarkets
