banner_id,merchant,merchant_string,tax_id
,Woolworths,Woolworths;woolworthsrewards,88000014675
,Wynyard Station Pharmacy,Wynyard Station,12912659862
,Urban Paddock Cafe,urban paddock cafe,57482066840
,Ali Baba,Ali Baba ,91627533262
,The London,|The London|,40513447891
,The Nixon Hotel,The Nixon Hotel,47610928339
,The HOF Downtown,HOF Downtown,27115247621
,The Commons Local Eating House,The Commons Local Eating House;|thecommons.com|,50817825578
,The Cidery Bar & Kitchen,The Cidery Bar & Kitchen,42639787451
,Target,|Target|;|target.com|;|flybuys card|,75004250944
,Sutcliffe Meats,Sutcliffe Meats,33167622577
,Super Cheap Auto,|Super Cheap Auto|,64085395124
,Sunlite Mitre 10,|Sunlite Hardware|;|Sunlite Mitre10|;|sunlitemitre10|,54003833716
,Strandbags,Strandbags,52002696915
,Squires Loft,Squires Loft,44119605648
,Shaver Shop,Shaver Shop;ADVANTAJ PTY LTD,15149220468
,Roll'd,|Roll'd|;|rolld.com|,13614684114
,Rebel,|Rebel|;Rebel Sport;,78003283823
,McDonald's,McDonalds;Mcdonald's,44057518948
,Ogalo,|Ogalo|,72501382950
,Railway Club Hotel,Railway Club Hotel;railwayclubhotel,46129588718
,Priceline Pharmacy,Priceline Pharmacy,64393476237
,Petbarn,Petbarn,78001802759
,Officeworks,|Officeworks|,36004763526
,Myer,|Myer|;|myer.com|,83004143239
,Mission Cafe,Mission Cafe;missioncafe,12152843153
,McDonald's,McDonalds;Mcdonald's,43008496928
,K-Mart,|KMART|;|Kmail|;,73004700485
,JB HI-FI,JB HI-FI;|JB HI FI|,37093114286
,IKEA,|IKEA|,84006270757
,Romeo's IGA,Romeosretail,11807080683
,Charlie Parker's,Charlie Parker's,29105332652
,Chemist Warehouse,Chemist Warehouse,38612674227
,The Grounds of the City,The Grounds of the City,92602515417
,The Rook,The Rook,81152412505
,David Jones,|David Jones|;davidjones,75000074573
,Coles Express,Coles Expr;colesexpress,78104811216
,Coles Supermarket,Coles Supermarket,45004189708
,Chophouse,|Chophouse|;,52572738897
,BP,|BP|;velocityfrequentflyer;Velocity Points,20789799304
,Apple,Apple Pty Ltd;apple.com,46002510054
,Aldi,|Aldi|;aldi.com,90196565019
,Agostinis Restaurant,|Agostininis|,13153780333
,GM Cabs,|GM Cabs|,
,7 ELEVEN,,89107777140
,7 ELEVEN,,48005299427
,7 ELEVEN,,34113631119
,7 ELEVEN,,99106258477
,7 Eleven,,42788363645
,7 Eleven,,65943088463
,7 Eleven,,16150587321
,7 Eleven,,94146532854
,7-ELEVEN,,41095550806
,7-ELEVEN,,62103993951
,7-ELEVEN,,29178638743
,7-Eleven,,28133789670
,7-Eleven,,39969843905
,SEVEN ELEVEN,,32126549460
,7 - ELEVEN 2027D,,47094480823
,7 - ELEVEN 2099C,,36142171926
,7 - ELEVEN 2142C,,90133879400
,7 - ELEVEN 2150C,,48136619068
,7 - ELEVEN 4111D,,26607274788
,7 ELEVEN 2265C,,52167189755
,7 ELEVEN GREENSLOPES,,73147954774
,7 ELEVEN HAWTHORN,,24348297120
,7 ELEVEN KEDRON,,89838173035
,7 ELEVEN PENSHURST,,41142888453
,7 ELEVEN ROSEBUD,,86007011841
,7 ELEVEN SILKSTONE,,51131855466
,7 Eleven - Mackenzie,,46106257818
,7 Eleven 1181B,,67159052034
,7 Eleven 2223B,,87606814902
,7 Eleven Mosman,,64160511624
,7 Eleven Service Station Pty Ltd,,72156390466
,7- ELEVEN 1317A,,57150125330
,7- ELEVEN 2231B,,51602785811
,7- ELEVEN ROWVILLE,,34147577517
,7- Eleven 4008G,,89525008372
,7-ELEVEN 1031W,,71143746356
,7-ELEVEN 1036G,,46912720295
,7-ELEVEN 1040F,,63494653095
,7-ELEVEN 1045G,,30963454282
,7-ELEVEN 1058N,,98897321786
,7-ELEVEN 1060M,,21599713601
,7-ELEVEN 1065G,,73152629699
,7-ELEVEN 1068F,,13976297657
,7-ELEVEN 1073G,,44134312084
,7-ELEVEN 1078M,,41200280846
,7-ELEVEN 1088C,,33943101901
,7-ELEVEN 1089G,,32687132063
,7-ELEVEN 1090D,,48100454528
