&Sons,China Square Central,20 Cross St #01-19,6221 3937,Food & Restaurants,
-417,Waterway Point,East Wing  #01-K17,6255 5516,Hair & Beauty,
10 10 Mother & Child Essentials,Waterway Point,West Wing  #02-28,6385 7921,Children's Wear  Toys & Maternity,
18 Karaats,The Centrepoint,#01-K2,6836 9430,Jewellery & Watches,
2it & Drink,Valley Point,#01-01,6737 3001,Food & Restaurants,
2XU,Changi City Point,#02-26,6604 8824,Sports & Leisure,
365 Fruit Juice & Smoothies,The Centrepoint,#B1-K5,N.A,Food & Restaurants,
49 Seats,The Centrepoint,#01-49/50/51/52,6225 4332,Food & Restaurants,
4FINGERS Crispy Chicken,Causeway Point,#01-38/39,6760 2084,Food & Restaurants,
4FINGERS Crispy Chicken,Northpoint City,North Wing  #01-15,6481 8194,Food & Restaurants,
5 Senses,Bedok Point,#02-30/31,6241 0676,Food & Restaurants,
7-Eleven,Anchorpoint,#01-34,6471 5309,Services,
7-Eleven,Causeway Point,#01-K09,6891 4295,Services,
7-Eleven,Changi City Point,#01-15,6636 1990,Services,
85 Redhill Teochew Fishball Noodles,Eastpoint Mall,#B1-16,N.A,Food & Restaurants,
85 Redhill Teochew Fishball Noodles,Valley Point,#01-07,N.A,Food & Restaurants,
8Treasures,Causeway Point,#03-K05,6893 3788,Furniture  Furnishings and Household,
A Tilly A Day,Waterway Point,West Wing  #02-03,N.A,Gifts,
A&J Creative Danceworld,China Square Central,18 Cross St,6538 2727,Schools & Offices,
A-One Claypot House,Causeway Point,#03-31,6219 5117,Food & Restaurants,
A-One Claypot House,Northpoint City,North Wing,N.A,Food & Restaurants,
A.LAB,Changi City Point,#01-55,6784 1318,Electrical  Electronic  Camera & Telecommunication,
A.Track Apparels,YewTee Point,#B1-52,6468 3758,Fashion Wear & Accessories,
Acanthus Collection,The Centrepoint,#04-12,6337 0113,Furniture  Furnishings and Household,
Ace Ventuna Toys Collection,China Square Central,18 Cross St #02-14,N.A,Toys & Collectibles,
Adam Khoo Learning Centre,Valley Point,#01-10,6734 9431,Schools & Offices,
Adeline Face & Body,YewTee Point,#01-13,6465 8885,Hair & Beauty,
Adidas,Causeway Point,#02-04,6893 0349,Sports & Leisure,
Adidas Outlet,Changi City Point,#01-04/05,6636 1057,Sports & Leisure,
Aegle TCM Wellness Clinique,Robertson Walk,#02-12,6779 4266,Pharmacy & Healthcare,
Ahava,The Centrepoint,#03-12,6732 7655,Hair & Beauty,
AIBI,Causeway Point,#B1-35,6894 5655,Sports & Leisure,
Ajisen Ramen,Causeway Point,#B1-18,6893 8212,Food & Restaurants,
Ajisen Ramen,Changi City Point,#01-35/36,6636 1600,Food & Restaurants,
Akemi Uchi,Causeway Point,#04-25/26,6894 2188,Furniture  Furnishings and Household,
Al Ameen Exchange,Anchorpoint,#B1-12,6474 5152,Bank & Money Changer,
ALDO,Changi City Point,#01-34,6538 2526,Fashion Wear & Accessories,
Alkaf Foreign Exchange,Causeway Point,#B1-K29 &amp; #03-06,6894 3542 <br> 6894 2412,Bank & Money Changer,
All Watches / Aptimos,Waterway Point,East Wing  #01-53,6385 7960,Jewellery & Watches,
Allscript,Waterway Point,East Wing  #B2-33,6385 8944,Books & Stationery,
Alodd,The Centrepoint,#02-50,6734 7551,Leather Goods  Bags & Shoes,
AMB Aquatic Hub,The Centrepoint,#B2-02,6835 7584,Services,
Amber Nectar,Robertson Walk,#01-10/11,6737 3774,Food & Restaurants,
Americaya,The Centrepoint,#02-23,6734 4513,Leather Goods  Bags & Shoes,
Andersen's Of Denmark,Waterway Point,East Wing  #01-42,6386 0690,Food & Restaurants,
Anew Me,The Centrepoint,#03-27/27A,6262 0990,Hair & Beauty,
Angelique Boutique,The Centrepoint,#02-40/41,6738 4077,Fashion Wear & Accessories,
Anytime Fitness,Valley Point,#02-02/03,6737 0121,Sports & Leisure,
Apgujeong Hair Studio,Waterway Point,East Wing  #01-40,6385 8957,Hair & Beauty,
Art Studio & Gallery,Eastpoint Mall,#02-28,6538 9916,Arts & Crafts,
Artbox,Causeway Point,#03-22/23,6996 4235,Gifts,
Asics Factory Outlet,Changi City Point,#02-20,6538 2382,Sports & Leisure,
AsterSpring Origin of Beauty,The Centrepoint,#05-09/11,6732 0090,Hair & Beauty,
Astons Steak & Salad,The Centrepoint,#03-28/28A,6235 0556,Food & Restaurants,
Asus,Causeway Point,#03-11,6376 9314,Electrical  Electronic  Camera & Telecommunication,
Aureus Academy,Eastpoint Mall,#04-06,62356488,Schools & Offices,
Avant-Grade Money Changer,YewTee Point,#B1-51,6533 6214,Bank & Money Changer,
Avone Beauty Secrets,Eastpoint Mall,#03-12,6636 0890,Hair & Beauty,
